Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,9.156670,9.176550,9.156670,9.156670,9.156670,0
2016-01-04,9.157200,9.205840,9.145000,9.156800,9.156800,0
2016-01-05,9.198530,9.252600,9.191410,9.200580,9.200580,0
2016-01-06,9.233960,9.254000,9.209000,9.231680,9.231680,0
2016-01-07,9.246080,9.288200,9.242900,9.253570,9.253570,0
2016-01-08,9.242470,9.279800,9.225050,9.244470,9.244470,0
2016-01-11,9.288240,9.289000,9.256500,9.287970,9.287970,0
2016-01-12,9.259330,9.283200,9.241000,9.269390,9.269390,0
2016-01-13,9.241830,9.267100,9.235000,9.251000,9.251000,0
2016-01-14,9.275300,9.316200,9.250900,9.275600,9.275600,0
2016-01-15,9.274580,9.386960,9.268160,9.286200,9.286200,0
2016-01-18,9.362000,9.370110,9.335400,9.362200,9.362200,0
2016-01-19,9.351970,9.357800,9.291060,9.353550,9.353550,0
2016-01-20,9.310080,9.371900,9.301200,9.312000,9.312000,0
2016-01-21,9.335080,9.377050,9.300200,9.348740,9.348740,0
2016-01-22,9.292770,9.299900,9.262130,9.296640,9.296640,0
2016-01-25,9.259600,9.284900,9.252800,9.262150,9.262150,0
2016-01-26,9.278830,9.315500,9.259760,9.287580,9.287580,0
2016-01-27,9.280610,9.296710,9.250700,9.280260,9.280260,0
2016-01-28,9.269160,9.314500,9.248450,9.269800,9.269800,0
2016-01-29,9.290580,9.351770,9.269800,9.297560,9.297560,0
2016-02-01,9.296780,9.304800,9.266120,9.295060,9.295060,0
2016-02-02,9.280080,9.362060,9.280080,9.286440,9.286440,0
2016-02-03,9.337200,9.385040,9.324000,9.336200,9.336200,0
2016-02-04,9.362800,9.406600,9.348770,9.360610,9.360610,0
2016-02-05,9.405600,9.435760,9.387000,9.405540,9.405540,0
2016-02-08,9.429340,9.454790,9.398800,9.428970,9.428970,0
2016-02-09,9.451900,9.518830,9.445880,9.451770,9.451770,0
2016-02-10,9.490800,9.531800,9.469000,9.496500,9.496500,0
2016-02-11,9.436330,9.606600,9.433800,9.440700,9.440700,0
2016-02-12,9.465330,9.491700,9.430160,9.476700,9.476700,0
2016-02-15,9.451500,9.494700,9.435870,9.452560,9.452560,0
2016-02-16,9.466200,9.484300,9.453900,9.466500,9.466500,0
2016-02-17,9.476200,9.495570,9.446160,9.475260,9.475260,0
2016-02-18,9.468160,9.478000,9.382590,9.469130,9.469130,0
2016-02-19,9.380800,9.403240,9.362950,9.381920,9.381920,0
2016-02-22,9.389700,9.402190,9.341400,9.387490,9.387490,0
2016-02-23,9.359330,9.380500,9.341000,9.368700,9.368700,0
2016-02-24,9.344580,9.385000,9.338900,9.344900,9.344900,0
2016-02-25,9.336350,9.400030,9.336350,9.349300,9.349300,0
2016-02-26,9.359060,9.381540,9.325300,9.365800,9.365800,0
2016-02-29,9.347460,9.365920,9.310400,9.348600,9.348600,0
2016-03-01,9.314820,9.381040,9.293730,9.313100,9.313100,0
2016-03-02,9.365500,9.370600,9.330000,9.364360,9.364360,0
2016-03-03,9.357510,9.373000,9.343960,9.357170,9.357170,0
2016-03-04,9.336770,9.356600,9.321100,9.337870,9.337870,0
2016-03-07,9.327110,9.342000,9.319000,9.324200,9.324200,0
2016-03-08,9.332400,9.377900,9.327580,9.330800,9.330800,0
2016-03-09,9.341000,9.344000,9.274100,9.340960,9.340960,0
2016-03-10,9.284600,9.350600,9.228000,9.282400,9.282400,0
2016-03-11,9.358110,9.364000,9.295300,9.356170,9.356170,0
2016-03-14,9.306000,9.310500,9.254910,9.306800,9.306800,0
2016-03-15,9.262540,9.276930,9.225400,9.263600,9.263600,0
2016-03-16,9.235060,9.256200,9.211700,9.242280,9.242280,0
2016-03-17,9.234010,9.304250,9.204300,9.234110,9.234110,0
2016-03-18,9.256000,9.281740,9.248800,9.255410,9.255410,0
2016-03-21,9.274100,9.287700,9.250000,9.274600,9.274600,0
2016-03-22,9.247500,9.273080,9.220830,9.247900,9.247900,0
2016-03-23,9.226300,9.250810,9.217950,9.228400,9.228400,0
2016-03-24,9.239250,9.271730,9.232620,9.240270,9.240270,0
2016-03-25,9.259830,9.274260,9.251350,9.264810,9.264810,0
2016-03-28,9.272900,9.289460,9.247800,9.271780,9.271780,0
2016-03-29,9.269910,9.280900,9.244200,9.269960,9.269960,0
2016-03-30,9.252700,9.262800,9.225000,9.250390,9.250390,0
2016-03-31,9.215280,9.245360,9.212480,9.215820,9.215820,0
2016-04-01,9.236050,9.253200,9.231400,9.236900,9.236900,0
2016-04-04,9.257360,9.264700,9.243100,9.258370,9.258370,0
2016-04-05,9.250950,9.270800,9.245040,9.250890,9.250890,0
2016-04-06,9.255700,9.301740,9.236990,9.251390,9.251390,0
2016-04-07,9.285950,9.299910,9.241000,9.290570,9.290570,0
2016-04-08,9.281300,9.296080,9.265000,9.282200,9.282200,0
2016-04-11,9.291400,9.298530,9.252000,9.292600,9.292600,0
2016-04-12,9.250690,9.262500,9.180520,9.252900,9.252900,0
2016-04-13,9.196940,9.206900,9.160830,9.198130,9.198130,0
