Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,1.945800,1.945800,1.945800,1.945800,1.945800,0
2016-01-04,1.945800,1.948900,1.945800,1.945800,1.945800,0
2016-01-05,1.948300,1.948800,1.945800,1.948600,1.948600,0
2016-01-06,1.948400,1.948600,1.945800,1.948300,1.948300,0
2016-01-07,1.948500,1.948900,1.945800,1.948700,1.948700,0
2016-01-08,1.948600,1.948700,1.945800,1.948700,1.948700,0
2016-01-11,1.945800,1.949000,1.945800,1.945800,1.945800,0
2016-01-12,1.948700,1.948900,1.945800,1.948200,1.948200,0
2016-01-13,1.948200,1.948900,1.945800,1.948300,1.948300,0
2016-01-14,1.948600,1.948800,1.945800,1.948500,1.948500,0
2016-01-15,1.948200,1.948800,1.945800,1.948300,1.948300,0
2016-01-18,1.945800,1.948800,1.945800,1.945800,1.945800,0
2016-01-19,1.948300,1.948800,1.945800,1.948400,1.948400,0
2016-01-20,1.948400,1.948800,1.945800,1.948700,1.948700,0
2016-01-21,1.948600,1.949700,1.945800,1.948400,1.948400,0
2016-01-22,1.948500,1.948900,1.945800,1.948300,1.948300,0
2016-01-25,1.945800,1.948700,1.945800,1.945800,1.945800,0
2016-01-26,1.948300,1.948800,1.945800,1.948400,1.948400,0
2016-01-27,1.948700,1.948700,1.945800,1.948500,1.948500,0
2016-01-28,1.948200,1.948700,1.945800,1.948700,1.948700,0
2016-01-29,1.948300,1.948800,1.945800,1.948800,1.948800,0
2016-02-01,1.945800,1.948500,1.945800,1.945800,1.945800,0
2016-02-02,1.948200,1.948800,1.945800,1.948400,1.948400,0
2016-02-03,1.948400,1.950300,1.945800,1.948200,1.948200,0
2016-02-04,1.948500,1.948700,1.945800,1.948600,1.948600,0
2016-02-05,1.948300,1.949600,1.945800,1.948500,1.948500,0
2016-02-08,1.945800,1.948700,1.945800,1.949700,1.949700,0
2016-02-09,1.948600,1.953000,1.945800,1.948300,1.948300,0
2016-02-10,1.948700,1.949000,1.945800,1.948300,1.948300,0
2016-02-11,1.948700,1.948800,1.945800,1.948400,1.948400,0
2016-02-12,1.948600,1.948800,1.945800,1.948400,1.948400,0
2016-02-15,1.945800,1.948900,1.945800,1.945800,1.945800,0
2016-02-16,1.948300,1.948800,1.945800,1.948800,1.948800,0
2016-02-17,1.948300,1.948800,1.945800,1.948200,1.948200,0
2016-02-18,1.948600,1.948700,1.945800,1.948900,1.948900,0
2016-02-19,1.948600,1.948900,1.945800,1.948500,1.948500,0
2016-02-22,1.945800,1.948800,1.945800,1.945800,1.945800,0
2016-02-23,1.948100,1.948800,1.945800,1.948300,1.948300,0
2016-02-24,1.948500,1.949000,1.945800,1.948300,1.948300,0
2016-02-25,1.948500,1.948900,1.945800,1.948300,1.948300,0
2016-02-26,1.948500,1.948800,1.945800,1.948400,1.948400,0
2016-02-29,1.945800,1.949000,1.945800,1.945800,1.945800,0
2016-03-01,1.948300,1.948900,1.945800,1.948400,1.948400,0
2016-03-02,1.948000,1.948700,1.945800,1.948100,1.948100,0
2016-03-03,1.948300,1.951300,1.945800,1.948100,1.948100,0
2016-03-04,1.948300,1.951000,1.945800,1.948500,1.948500,0
2016-03-07,1.945800,1.948700,1.945800,1.945800,1.945800,0
2016-03-08,1.948100,1.948700,1.945800,1.948300,1.948300,0
2016-03-09,1.948700,1.948900,1.945800,1.948800,1.948800,0
2016-03-10,1.948300,1.950400,1.945000,1.948400,1.948400,0
2016-03-11,1.948200,1.949400,1.945800,1.948300,1.948300,0
2016-03-14,1.945800,1.948700,1.945800,1.945800,1.945800,0
2016-03-15,1.948400,1.948900,1.945800,1.948900,1.948900,0
2016-03-16,1.948700,1.949600,1.945800,1.948600,1.948600,0
2016-03-17,1.948500,1.949100,1.945800,1.948000,1.948000,0
2016-03-18,1.948300,1.948800,1.945800,1.948500,1.948500,0
2016-03-21,1.945800,1.948600,1.945800,1.948000,1.948000,0
2016-03-22,1.948600,1.948900,1.945800,1.948800,1.948800,0
2016-03-23,1.948600,1.948700,1.945800,1.948400,1.948400,0
2016-03-24,1.948400,1.948700,1.945800,1.948300,1.948300,0
2016-03-25,1.945800,1.945800,1.945800,1.948300,1.948300,0
2016-03-28,1.945800,1.945800,1.945800,1.948300,1.948300,0
2016-03-29,1.945800,1.948600,1.945800,1.948300,1.948300,0
2016-03-30,1.945800,1.949000,1.945800,1.948400,1.948400,0
2016-03-31,1.948800,1.949000,1.945800,1.948500,1.948500,0
2016-04-01,1.948300,1.948700,1.945800,1.948500,1.948500,0
2016-04-04,1.945800,1.949000,1.945800,1.948300,1.948300,0
2016-04-05,1.945800,1.948900,1.945800,1.948100,1.948100,0
2016-04-06,1.945800,1.948800,1.945800,1.948300,1.948300,0
2016-04-07,1.948400,1.957100,1.945800,1.948500,1.948500,0
2016-04-08,1.948300,1.948700,1.945800,1.945800,1.945800,0
2016-04-11,1.945800,1.948900,1.945800,1.948300,1.948300,0
2016-04-12,1.945800,1.948800,1.945800,1.948600,1.948600,0
2016-04-13,1.945800,1.948800,1.945800,1.948500,1.948500,0
2016-04-14,1.945800,1.949100,1.945800,1.948700,1.948700,0
2016-04-15,1.948600,1.948600,1.945800,1.948400,1.948400,0
2016-04-18,1.945800,1.948700,1.945800,1.949200,1.949200,0
2016-04-19,1.945800,1.948800,1.945800,1.948600,1.948600,0
2016-04-20,1.945800,1.948800,1.945800,1.948500,1.948500,0
2016-04-21,1.945800,1.948800,1.945800,1.948400,1.948400,0
2016-04-22,1.948600,1.948800,1.945800,1.948400,1.948400,0
2016-04-25,1.945800,1.948800,1.945800,1.948400,1.948400,0
2016-04-26,1.948600,1.948900,1.945800,1.948100,1.948100,0
2016-04-27,1.945800,1.948700,1.945800,1.948200,1.948200,0
2016-04-28,1.948200,1.949000,1.945800,1.948700,1.948700,0
2016-04-29,1.945800,1.948900,1.945800,1.948500,1.948500,0
2016-05-02,1.949300,1.949300,1.945800,1.945800,1.945800,0
2016-05-03,1.945800,1.948800,1.945800,1.948300,1.948300,0
2016-05-04,1.948700,1.949100,1.945800,1.945800,1.945800,0
2016-05-05,1.945800,1.948800,1.945800,1.948600,1.948600,0
2016-05-06,1.945800,1.949000,1.945800,1.948300,1.948300,0
2016-05-09,1.945800,1.948800,1.945800,1.948300,1.948300,0
2016-05-10,1.945800,1.948700,1.945800,1.948700,1.948700,0
2016-05-11,1.945800,1.950100,1.945800,1.948500,1.948500,0
2016-05-12,1.945800,1.948900,1.945800,1.948300,1.948300,0
2016-05-13,1.945800,1.948900,1.945800,1.948300,1.948300,0
2016-05-16,1.945800,1.948800,1.945800,1.948300,1.948300,0
2016-05-17,1.948600,1.948900,1.945800,1.948100,1.948100,0
2016-05-18,1.945800,1.948800,1.945800,1.948500,1.948500,0
2016-05-19,1.945800,1.949000,1.945800,1.948000,1.948000,0
2016-05-20,1.945800,1.948600,1.945800,1.948600,1.948600,0
2016-05-23,1.945800,1.948700,1.945800,1.948400,1.948400,0
2016-05-24,1.945800,1.948700,1.945800,1.948100,1.948100,0
2016-05-25,1.945800,1.948700,1.945800,1.948200,1.948200,0
2016-05-26,1.945800,1.948800,1.945800,1.948100,1.948100,0
2016-05-27,1.945800,1.948800,1.945800,1.948700,1.948700,0
2016-05-30,1.945800,1.948800,1.945800,1.948400,1.948400,0
2016-05-31,1.948300,1.948800,1.945800,1.948800,1.948800,0
2016-06-01,1.945800,1.948700,1.945800,1.948200,1.948200,0
2016-06-02,1.945800,1.948700,1.945800,1.948300,1.948300,0
2016-06-03,1.945800,1.949200,1.945800,1.948300,1.948300,0
2016-06-06,1.945800,1.948800,1.945800,1.948500,1.948500,0
2016-06-07,1.945800,1.948800,1.945800,1.948100,1.948100,0
2016-06-08,1.945800,1.948800,1.945800,1.948800,1.948800,0
2016-06-09,1.945800,1.948700,1.945800,1.948500,1.948500,0
2016-06-10,1.945800,1.948800,1.945800,1.948800,1.948800,0
