"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
15021,2005,1,"Competition","COMP",20,"Latvia","LV",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",3
15023,2005,1,"Competition","COMP",20,"Latvia","LV",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",6
15041,2005,1,"Competition","COMP",21,"Lithuania","LT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",6
15043,2005,1,"Competition","COMP",21,"Lithuania","LT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",8
15044,2005,1,"Competition","COMP",21,"Lithuania","LT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15047,2005,1,"Competition","COMP",21,"Lithuania","LT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
15061,2005,1,"Competition","COMP",22,"Malta","MT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",10
15063,2005,1,"Competition","COMP",22,"Malta","MT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15078,2005,1,"Competition","COMP",22,"Malta","MT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
15081,2005,1,"Competition","COMP",23,"Poland","PL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",29
15082,2005,1,"Competition","COMP",23,"Poland","PL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",3
15083,2005,1,"Competition","COMP",23,"Poland","PL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",40
15084,2005,1,"Competition","COMP",23,"Poland","PL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
15087,2005,1,"Competition","COMP",23,"Poland","PL",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
15090,2005,1,"Competition","COMP",23,"Poland","PL",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15093,2005,1,"Competition","COMP",23,"Poland","PL",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
15094,2005,1,"Competition","COMP",23,"Poland","PL",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",1
15098,2005,1,"Competition","COMP",23,"Poland","PL",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
15101,2005,1,"Competition","COMP",24,"Slovakia","SK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
15103,2005,1,"Competition","COMP",24,"Slovakia","SK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",17
15104,2005,1,"Competition","COMP",24,"Slovakia","SK",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
15107,2005,1,"Competition","COMP",24,"Slovakia","SK",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
15108,2005,1,"Competition","COMP",24,"Slovakia","SK",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",1
15143,2005,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
15161,2005,2,"Agriculture and Rural Development","AGRI",2,"France","FR",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",16
15163,2005,2,"Agriculture and Rural Development","AGRI",2,"France","FR",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",19
15181,2005,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",10
15183,2005,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",16
15184,2005,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15188,2005,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",1
15201,2005,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",11
15203,2005,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",68
15204,2005,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15210,2005,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
15241,2005,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",11
15242,2005,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",1
15243,2005,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",9
15244,2005,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
15247,2005,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
15263,2005,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",7
15283,2005,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
15301,2005,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",16
15302,2005,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",1
15303,2005,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",16
15321,2005,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
15323,2005,2,"Agriculture and Rural Development","AGRI",10,"Greece","EL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15343,2005,2,"Agriculture and Rural Development","AGRI",11,"Portugal","PT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
15361,2005,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",12
15363,2005,2,"Agriculture and Rural Development","AGRI",12,"Spain","ES",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",28
15383,2005,2,"Agriculture and Rural Development","AGRI",13,"Austria","AT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
15401,2005,2,"Agriculture and Rural Development","AGRI",14,"Finland","FI",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
15403,2005,2,"Agriculture and Rural Development","AGRI",14,"Finland","FI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",4
15423,2005,2,"Agriculture and Rural Development","AGRI",15,"Sweden","SE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
15443,2005,2,"Agriculture and Rural Development","AGRI",16,"Cyprus","CY",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15461,2005,2,"Agriculture and Rural Development","AGRI",17,"Czech Republic","CZ",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
15463,2005,2,"Agriculture and Rural Development","AGRI",17,"Czech Republic","CZ",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",5
15483,2005,2,"Agriculture and Rural Development","AGRI",18,"Estonia","EE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",1
15501,2005,2,"Agriculture and Rural Development","AGRI",19,"Hungary","HU",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
15503,2005,2,"Agriculture and Rural Development","AGRI",19,"Hungary","HU",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",3
15521,2005,2,"Agriculture and Rural Development","AGRI",20,"Latvia","LV",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",6
15523,2005,2,"Agriculture and Rural Development","AGRI",20,"Latvia","LV",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",7
